timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
630566189,32767,32767,32767,32767,32767,32767
630571216,32767,32767,32767,32767,32767,32767
630576187,32767,32767,32767,32767,32767,32767
630581189,32767,32767,32767,32767,32767,32767
630586213,32767,32767,32767,32767,32767,32767
630591188,32767,32767,32767,32767,32767,32767
630596187,32767,32767,32767,32767,32767,32767
630601215,32767,32767,32767,32767,32767,32767
630606187,32767,32767,32767,32767,-2,32767
630611194,32767,32767,32767,32767,32767,-42
630616212,32767,32767,32767,32767,32767,32767
630621188,32767,32767,32767,32767,32767,32767
630626188,32767,32767,32767,32767,32767,32767
630631212,32767,32767,32767,32767,32767,32767
630636189,32767,32767,32767,32767,32767,32767
630641190,32767,32767,32767,-4,32767,32767
630646211,32767,32767,32767,32767,32767,32767
630651189,32767,32767,32767,32767,32767,32767
630656187,32767,32767,32767,32767,32767,32767
630661213,32767,32767,32767,32767,32767,32767
630666189,32767,32767,32767,32767,32767,32767
630671188,32767,32767,32767,32767,32767,32767
630676212,32767,32767,32767,32767,32767,32767
630681189,32767,32767,32767,32767,32767,32767
630686187,32767,32767,32767,-20,32767,32767
630691213,32767,32767,32767,32767,32767,32767
630696190,32767,32767,32767,32767,32767,32767
630701188,32767,32767,32767,32767,32767,32767
630706212,32767,32767,32767,32767,-3,32767
630711191,32767,32767,32767,32767,32767,32767
630716187,32767,32767,32767,32767,32767,32767
630721213,32767,32767,32767,32767,32767,32767
630726188,32767,32767,32767,32767,32767,32767
630731188,32767,32767,32767,32767,32767,32767
630736213,32767,32767,32767,32767,32767,32767
630741190,32767,32767,32767,32767,32767,32767
630746188,32767,32767,32767,32767,32767,32767
630751213,32767,32767,32767,32767,32767,32767
630756188,32767,32767,32767,32767,-2,32767
630761187,32767,32767,32767,32767,32767,32767
630766212,32767,32767,32767,32767,32767,32767
630771190,32767,32767,32767,-5,32767,32767
630776187,32767,32767,32767,32767,32767,32767
630781213,32767,32767,32767,32767,32767,32767
630786188,32767,32767,32767,32767,32767,32767
630791188,32767,32767,32767,32767,32767,32767
630796213,32767,32767,32767,32767,32767,32767
630801191,32767,32767,32767,32767,32767,32767
630806187,32767,32767,32767,32767,32767,32767
630811217,32767,32767,32767,32767,32767,32767
630816187,32767,32767,32767,-22,32767,32767
630821188,32767,32767,32767,32767,32767,32767
630826213,32767,32767,32767,32767,32767,32767
630831188,32767,32767,32767,32767,32767,32767
630836188,32767,32767,32767,32767,32767,32767
630841219,32767,32767,32767,32767,32767,32767
630846188,32767,32767,32767,32767,32767,32767
630851188,32767,32767,32767,32767,32767,32767
630856213,32767,32767,32767,32767,-3,32767
630861188,32767,32767,32767,32767,32767,32767
630866188,32767,32767,32767,32767,32767,32767
630871220,32767,32767,32767,32767,32767,32767
630876187,32767,32767,32767,32767,32767,32767
630881188,32767,32767,32767,32767,32767,32767
630886213,32767,32767,32767,32767,32767,32767
630891188,32767,32767,32767,32767,32767,32767
630896188,32767,32767,32767,32767,32767,32767
630901218,32767,32767,32767,-7,32767,32767
630906188,32767,32767,32767,32767,-2,32767
630911190,32767,32767,32767,32767,32767,32767
630916211,32767,32767,32767,32767,32767,32767
630921188,32767,32767,32767,32767,32767,32767
630926188,32767,32767,32767,32767,32767,32767
630931212,32767,32767,32767,32767,32767,32767
630936188,32767,32767,32767,32767,32767,32767
630941190,32767,32767,32767,32767,32767,32767
630946211,32767,32767,32767,-24,32767,32767
630951188,32767,32767,32767,32767,32767,32767
630956189,32767,32767,32767,32767,32767,32767
630961213,32767,32767,32767,32767,32767,32767
630966188,32767,32767,32767,32767,32767,32767
630971191,32767,32767,32767,32767,32767,32767
630976212,32767,32767,32767,32767,32767,32767
630981188,32767,32767,32767,32767,32767,32767
630986188,32767,32767,32767,32767,32767,32767
630991212,32767,32767,32767,32767,32767,32767
630996189,32767,32767,32767,32767,32767,32767
631001190,32767,32767,32767,32767,32767,32767
631006211,32767,32767,32767,32767,-3,32767
631011188,32767,32767,32767,32767,32767,32767
631016188,32767,32767,32767,32767,32767,32767
631021212,32767,32767,32767,32767,32767,32767
631026188,32767,32767,32767,32767,32767,32767
631031188,32767,32767,32767,-7,32767,32767
631036212,32767,32767,32767,32767,32767,32767
631041188,32767,32767,32767,32767,32767,32767
631046188,32767,32767,32767,32767,32767,32767
631051212,32767,32767,32767,32767,32767,32767
631056188,32767,32767,32767,32767,-2,32767
631061190,32767,32767,32767,32767,32767,32767
631066211,32767,32767,32767,32767,32767,32767
631071188,32767,32767,32767,32767,32767,32767
631076188,32767,32767,32767,-23,32767,32767
631081213,32767,32767,32767,32767,32767,32767
631086188,32767,32767,32767,32767,32767,32767
631091190,32767,32767,32767,32767,32767,32767
631096211,32767,32767,32767,32767,32767,32767
631101188,32767,32767,32767,32767,32767,32767
631106188,32767,32767,32767,32767,32767,32767
631111213,32767,32767,32767,32767,32767,32767
631116187,32767,32767,32767,32767,32767,32767
631121191,32767,32767,32767,32767,32767,32767
631126211,32767,32767,32767,32767,32767,32767
631131190,32767,32767,32767,32767,32767,32767
631136188,32767,32767,32767,32767,32767,32767
631141212,32767,32767,32767,32767,32767,32767
631146188,32767,32767,32767,32767,32767,32767
631151189,32767,32767,32767,32767,32767,32767
631156211,32767,32767,32767,32767,-3,32767
631161188,32767,32767,32767,-8,32767,32767
631166188,32767,32767,32767,32767,32767,32767
631171212,32767,32767,32767,32767,32767,32767
631176188,32767,32767,32767,32767,32767,32767
631181188,32767,32767,32767,32767,32767,32767
631186212,32767,32767,32767,32767,32767,32767
631191188,32767,32767,32767,32767,32767,32767
631196187,32767,32767,32767,32767,32767,32767
631201213,32767,32767,32767,32767,32767,32767
631206187,32767,32767,32767,-25,-2,32767
631211188,32767,32767,32767,32767,32767,32767
631216212,32767,32767,32767,32767,32767,32767
631221188,32767,32767,32767,32767,32767,32767
631226188,32767,32767,32767,32767,32767,32767
631231219,32767,32767,32767,32767,32767,32767
631236187,32767,32767,32767,32767,32767,32767
631241190,32767,32767,32767,32767,32767,32767
631246212,32767,32767,32767,32767,32767,32767
631251188,32767,32767,32767,32767,32767,32767
631256188,32767,32767,32767,32767,32767,32767
631261221,32767,32767,32767,32767,32767,32767
631266187,32767,32767,32767,32767,32767,32767
631271191,32767,32767,32767,32767,32767,32767
631276214,32767,32767,32767,32767,32767,32767
631281188,32767,32767,32767,32767,32767,32767
631286188,32767,32767,32767,32767,32767,32767
631291212,32767,32767,32767,-10,32767,32767
631296189,32767,32767,32767,32767,32767,32767
631301190,32767,32767,32767,32767,32767,32767
631306212,32767,32767,32767,32767,-3,32767
631311193,32767,32767,32767,32767,32767,32767
631316187,32767,32767,32767,32767,32767,32767
631321216,32767,32767,32767,32767,32767,32767
631326188,32767,32767,32767,32767,32767,32767
631331188,32767,32767,32767,32767,32767,32767
631336212,32767,32767,32767,-27,32767,32767
631341212,32767,32767,32767,32767,32767,32767
631346188,32767,32767,32767,32767,32767,32767
631351216,32767,32767,32767,32767,32767,32767
631356187,32767,32767,32767,32767,-2,32767
631361190,32767,32767,32767,32767,32767,32767
631366211,32767,32767,32767,32767,32767,32767
631371190,32767,32767,32767,32767,32767,32767
631376187,32767,32767,32767,32767,32767,32767
631381212,32767,32767,32767,32767,32767,32767
631386189,32767,32767,32767,32767,32767,32767
631391188,32767,32767,32767,32767,32767,32767
631396212,32767,32767,32767,32767,32767,32767
631401190,32767,32767,32767,32767,32767,32767
631406188,32767,32767,32767,32767,32767,32767
631411217,32767,32767,32767,32767,32767,32767
631416187,32767,32767,32767,32767,32767,32767
631421188,32767,32767,32767,-10,32767,32767
631426213,32767,32767,32767,32767,32767,32767
631431188,32767,32767,32767,32767,32767,32767
631436188,32767,32767,32767,32767,32767,32767
631441217,32767,32767,32767,32767,32767,32767
631446187,32767,32767,32767,32767,32767,32767
631451192,32767,32767,32767,32767,32767,32767
631456213,32767,32767,32767,32767,-3,32767
631461188,32767,32767,32767,32767,32767,32767
631466188,32767,32767,32767,-26,32767,32767
631471217,32767,32767,32767,32767,32767,32767
631476187,32767,32767,32767,32767,32767,-9
631481189,32767,32767,32767,32767,32767,32767
631486212,32767,32767,32767,32767,32767,32767
631491188,32767,32767,32767,32767,32767,-13
631496188,32767,32767,32767,32767,32767,32767
631501213,32767,32767,32767,32767,32767,32767
631506188,32767,32767,32767,32767,-2,-16
631511188,32767,32767,32767,32767,32767,32767
631516211,32767,32767,32767,32767,32767,32767
631521188,32767,32767,32767,32767,32767,-41
631526188,32767,32767,32767,32767,32767,32767
631531210,32767,32767,32767,32767,32767,0
631536186,32767,32767,32767,32767,32767,32767
631541188,32767,32767,32767,32767,32767,32767
631546211,32767,32767,32767,32767,32767,-8
631551187,32767,32767,32767,-10,32767,32767
631556188,32767,32767,32767,32767,32767,32767
631561211,32767,32767,32767,32767,32767,-16
631566186,32767,32767,32767,32767,32767,32767
631571188,32767,32767,32767,32767,32767,32767
631576211,32767,32767,32767,32767,32767,-19
631581188,32767,32767,32767,32767,32767,32767
631586187,32767,32767,32767,32767,32767,32767
631591210,32767,32767,32767,32767,32767,-12
631596187,32767,32767,32767,-28,32767,32767
631601187,32767,32767,32767,32767,32767,32767
631606211,32767,32767,32767,32767,-3,32767
631611208,32767,32767,32767,32767,32767,-39
631616187,32767,32767,32767,32767,32767,32767
631621211,32767,32767,32767,32767,32767,32767
631626187,32767,32767,32767,32767,32767,32767
631631188,32767,32767,32767,32767,32767,32767
631636211,32767,32767,32767,32767,32767,32767
631641187,32767,32767,32767,32767,32767,32767
631646188,32767,32767,32767,32767,32767,32767
631651213,32767,32767,32767,32767,32767,32767
631656187,32767,32767,32767,32767,-3,32767
631661188,32767,32767,32767,32767,32767,32767
631666211,32767,32767,32767,32767,32767,32767
631671188,32767,32767,32767,32767,32767,32767
631676187,32767,32767,32767,32767,32767,32767
631681211,32767,32767,32767,-12,32767,32767
631686186,32767,32767,32767,32767,32767,-20
631691188,32767,32767,32767,32767,32767,32767
631696214,32767,32767,32767,32767,32767,32767
631701188,32767,32767,32767,32767,32767,32767
631706188,32767,32767,32767,32767,32767,32767
631711211,32767,32767,32767,32767,32767,32767
631716187,32767,32767,32767,32767,32767,32767
631721188,32767,32767,32767,32767,32767,32767
631726211,32767,32767,32767,-30,32767,32767
