timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
629749408,629726777,2,4,0,0,0,0,3,0,0,0,0,0,0
630755271,630732422,2,4,0,0,0,0,3,0,0,0,0,0,0
631765687,631743047,2,4,0,0,0,0,3,0,0,0,0,0,0
632774019,632750859,2,4,0,0,0,0,3,0,0,0,0,0,0
633783570,633760474,2,4,0,0,0,0,3,0,0,0,0,0,0
634789803,634767165,2,4,0,0,0,0,3,0,0,0,0,0,0
635797619,635774792,2,4,0,0,0,0,3,0,0,0,0,0,0
636806653,636783850,2,4,0,0,0,0,3,0,0,0,0,0,0
637814007,637791201,2,4,0,0,0,0,3,0,0,0,0,0,0
638820560,638797749,2,4,0,0,0,0,3,0,0,0,0,0,0
639828920,639806235,2,4,0,0,0,0,3,0,0,0,0,0,0
640837451,640814615,2,4,0,0,0,0,3,0,0,0,0,0,0
641846894,641824140,2,4,0,0,0,0,3,0,0,0,0,0,0
642856570,642833838,2,4,0,0,0,0,3,0,0,0,0,0,0
643865594,643843014,2,4,0,0,0,0,3,0,0,0,0,0,0
644874019,644851228,2,4,0,0,0,0,3,0,0,0,0,0,0
645882159,645859141,2,4,0,0,0,0,3,0,0,0,0,0,0
646890182,646867251,2,4,0,0,0,0,3,0,0,0,0,0,0
647856608,647833999,3,4,0,0,0,0,1,0,0,0,0,0,0
648865591,648842777,3,4,0,0,0,0,1,0,0,0,0,0,0
649873922,649850737,3,4,0,0,0,0,1,0,0,0,0,0,0
650880179,650857529,3,4,0,0,0,0,1,0,0,0,0,0,0
651888653,651866090,3,4,0,0,0,0,1,0,0,0,0,0,0
652905830,652874441,3,4,0,0,0,0,1,0,0,0,0,0,0
