timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
631500557,1775551914699932,-1775551283200175,-1775551283200259,1595,0
632501830,1775551915701408,-1775551283200515,-1775551283200287,1871,0
633503574,1775551916701916,-1775551283199595,-1775551283200319,2501,0
634500881,1775551917701158,-1775551283201232,-1775551283200354,1906,0
635499935,1775551918699805,-1775551283200341,-1775551283200385,936,0
636503517,1775551919702254,-1775551283200518,-1775551283200418,3556,0
637502096,1775551920702107,-1775551283200524,-1775551283200452,1021,0
638503037,1775551921702437,-1775551283200347,-1775551283200481,1889,0
639502322,1775551922702281,-1775551283200577,-1775551283200513,1230,0
640501257,1775551923701207,-1775551283200601,-1775551283200543,1296,0
641503030,1775551924702300,-1775551283200242,-1775551283200579,1938,0
642499431,1775551925700057,-1775551283200845,-1775551283200610,435,0
643499880,1775551926700226,-1775551283200808,-1775551283200645,919,0
644503226,1775551927702589,-1775551283200441,-1775551283200680,2115,0
645500406,1775551928701126,-1775551283200946,-1775551283200716,446,0
646500702,1775551929701192,-1775551283200863,-1775551283200738,743,0
647500945,1775551930701296,-1775551283200846,-1775551283200778,984,0
648501807,1775551931701554,-1775551283200573,-1775551283200808,1646,0
649502080,1775551932701425,-1775551283200407,-1775551283200843,2120,0
650499665,1775551933700599,-1775551283201179,-1775551283200880,486,0
651499698,1775551934700444,-1775551283201099,-1775551283200916,701,0
652503561,1775551935702380,-1775551283200113,-1775551283200948,2582,0
653499397,1775551936700384,-1775551283201207,-1775551283200980,437,0
