timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
630566454,630566189,0.71247375,0.005975603,-0.00022418363,0.7016733,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630571513,630571216,0.71249276,0.0059673507,-0.00022258566,0.70165414,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630576442,630576187,0.71251667,0.005963679,-0.00024227382,0.7016298,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630581453,630581189,0.7125225,0.005958153,-0.00025581464,0.701624,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630586508,630586213,0.71249694,0.005954226,-0.00026564908,0.7016499,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630591441,630591188,0.7124467,0.0059618647,-0.00025166984,0.7017009,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630596449,630596187,0.71237344,0.005972409,-0.0002449301,0.7017752,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630601509,630601215,0.71228755,0.0059587955,-0.0002371292,0.7018625,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630606457,630606187,0.71222425,0.005950213,-0.00024061605,0.7019268,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630611460,630611194,0.71221864,0.0059422837,-0.00024275691,0.70193255,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630616472,630616212,0.7122664,0.0059397896,-0.00024915455,0.70188415,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630621453,630621188,0.7123181,0.0059547587,-0.000247582,0.70183146,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630626445,630626188,0.7123697,0.005963273,-0.00025110107,0.70177907,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630631500,630631212,0.7124149,0.005960022,-0.00025812542,0.70173323,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630636451,630636189,0.7124615,0.005957365,-0.00025560192,0.70168597,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630641452,630641190,0.7125176,0.0059479703,-0.00024910475,0.701629,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630646496,630646211,0.712574,0.0059496714,-0.00025772888,0.7015717,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630651452,630651189,0.71263456,0.005957688,-0.00026324647,0.70151013,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630656439,630656187,0.7126668,0.00596531,-0.00026122955,0.7014773,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630661499,630661213,0.7126839,0.005978619,-0.00025316435,0.70145977,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630666462,630666189,0.7126756,0.0059846533,-0.0002477,0.7014683,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630671450,630671188,0.71264285,0.0059770187,-0.00023278099,0.7015016,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630676466,630676212,0.7125967,0.005960709,-0.00024355722,0.70154864,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630681455,630681189,0.7125477,0.0059544533,-0.00025318653,0.70159847,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630686448,630686187,0.7125019,0.005948895,-0.000263276,0.7016451,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630691475,630691213,0.71245825,0.0059484085,-0.00026159055,0.70168936,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630696457,630696190,0.7124233,0.0059504495,-0.00026905583,0.70172477,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630701455,630701188,0.7124017,0.005950142,-0.000263226,0.70174676,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630706507,630706212,0.7123924,0.005937289,-0.0002549361,0.70175624,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630711465,630711191,0.7123929,0.005925785,-0.00025234508,0.7017558,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630716446,630716187,0.71240807,0.0059363656,-0.00026518793,0.7017403,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630721498,630721213,0.7124248,0.005942747,-0.00026925572,0.7017232,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630726458,630726188,0.7124439,0.005957303,-0.00025644907,0.7017037,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630731456,630731188,0.71247256,0.005960965,-0.0002456263,0.7016747,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630736499,630736213,0.7124956,0.0059701004,-0.00022957119,0.70165116,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630741451,630741190,0.7125139,0.005974125,-0.00021657626,0.7016325,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630746452,630746188,0.71252847,0.0059736823,-0.00022465558,0.70161784,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630751476,630751213,0.7125317,0.005974336,-0.00023860023,0.70161456,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630756444,630756188,0.71253455,0.0059678024,-0.00024520903,0.70161164,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630761450,630761187,0.71253,0.005971296,-0.00024876124,0.7016162,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
630766497,630766212,0.7125197,0.0059628086,-0.0002424616,0.7016267,0.7085878,5.3527116e-10,-1.791907e-10,0.7056227,1
