timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
630561683,0.0,0.0,1.5555334,0.0,0.7124824,0.0,0.0,0.70169,0.0,0.0,-0.001,0,0
630571752,0.0,0.0,1.5554323,0.0,0.71251786,0.0,0.0,0.701654,0.0,0.0,-0.001,0,0
630581682,0.0,0.0,1.5553477,0.0,0.7125476,0.0,0.0,0.70162374,0.0,0.0,-0.001,0,0
630591700,0.0,0.0,1.5555637,0.0,0.7124718,0.0,0.0,0.70170075,0.0,0.0,-0.001,0,0
630601723,0.0,0.0,1.5560173,0.0,0.7123126,0.0,0.0,0.7018624,0.0,0.0,-0.001,0,0
630611827,0.0,0.0,1.556214,0.0,0.7122436,0.0,0.0,0.70193243,0.0,0.0,-0.001,0,0
630621681,0.0,0.0,1.5559301,0.0,0.7123432,0.0,0.0,0.7018313,0.0,0.0,-0.001,0,0
630631738,0.0,0.0,1.5556543,0.0,0.71244,0.0,0.0,0.701733,0.0,0.0,-0.001,0,0
630641779,0.0,0.0,1.5553617,0.0,0.71254265,0.0,0.0,0.7016288,0.0,0.0,-0.001,0,0
630651843,0.0,0.0,1.5550281,0.0,0.71265966,0.0,0.0,0.70151,0.0,0.0,-0.001,0,0
630661712,0.0,0.0,1.5548867,0.0,0.71270925,0.0,0.0,0.7014596,0.0,0.0,-0.001,0,0
630671708,0.0,0.0,1.5550042,0.0,0.712668,0.0,0.0,0.7015014,0.0,0.0,-0.001,0,0
630681713,0.0,0.0,1.555276,0.0,0.7125727,0.0,0.0,0.70159835,0.0,0.0,-0.001,0,0
630691733,0.0,0.0,1.5555311,0.0,0.71248317,0.0,0.0,0.70168924,0.0,0.0,-0.001,0,0
630701686,0.0,0.0,1.5556923,0.0,0.71242666,0.0,0.0,0.70174664,0.0,0.0,-0.001,0,0
630711728,0.0,0.0,1.5557178,0.0,0.7124177,0.0,0.0,0.7017557,0.0,0.0,-0.001,0,0
630721708,0.0,0.0,1.5556263,0.0,0.71244985,0.0,0.0,0.7017231,0.0,0.0,-0.001,0,0
630731714,0.0,0.0,1.55549,0.0,0.71249765,0.0,0.0,0.7016745,0.0,0.0,-0.001,0,0
630741713,0.0,0.0,1.5553716,0.0,0.71253914,0.0,0.0,0.70163244,0.0,0.0,-0.001,0,0
630751866,0.0,0.0,1.5553212,0.0,0.71255684,0.0,0.0,0.7016145,0.0,0.0,-0.001,0,0
630761682,0.0,0.0,1.555326,0.0,0.71255517,0.0,0.0,0.7016161,0.0,0.0,-0.001,0,0
630771752,0.0,0.0,1.5553961,0.0,0.7125306,0.0,0.0,0.701641,0.0,0.0,-0.001,0,0
630781706,0.0,0.0,1.5555282,0.0,0.71248424,0.0,0.0,0.7016881,0.0,0.0,-0.001,0,0
630791704,0.0,0.0,1.555628,0.0,0.71244925,0.0,0.0,0.7017237,0.0,0.0,-0.001,0,0
630801691,0.0,0.0,1.5556842,0.0,0.71242946,0.0,0.0,0.70174384,0.0,0.0,-0.001,0,0
630811778,0.0,0.0,1.5556294,0.0,0.7124487,0.0,0.0,0.70172423,0.0,0.0,-0.001,0,0
630821749,0.0,0.0,1.5555182,0.0,0.71248776,0.0,0.0,0.70168453,0.0,0.0,-0.001,0,0
630831714,0.0,0.0,1.5553738,0.0,0.71253836,0.0,0.0,0.70163316,0.0,0.0,-0.001,0,0
630841719,0.0,0.0,1.5552958,0.0,0.7125657,0.0,0.0,0.7016054,0.0,0.0,-0.001,0,0
630851785,0.0,0.0,1.5553224,0.0,0.7125564,0.0,0.0,0.7016149,0.0,0.0,-0.001,0,0
630861686,0.0,0.0,1.5554227,0.0,0.7125212,0.0,0.0,0.7016507,0.0,0.0,-0.001,0,0
630871777,0.0,0.0,1.5555426,0.0,0.7124792,0.0,0.0,0.70169336,0.0,0.0,-0.001,0,0
