timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
631313350,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1147,6407.1147,0.19833133,0.006520268,5.109996e-10,-0.124591105,-0.046641447,-9.904345,0.006667889,0.0012066452,0.0034252163,0.16284992,0.5180704,0.18307024,0.00042260124,6.954672e-05,0.000109091,33.881775,33.881775
632258340,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1006,6407.1006,0.30949908,0.00944983,3.4805225e-10,-0.12580913,-0.053280655,-9.885155,0.0058667604,0.0014063512,0.0019395777,0.45134196,0.40840286,0.37423936,0.00033688926,0.00030014783,3.1718842e-05,33.852528,33.852528
633308344,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.116,6407.116,0.29684946,0.009302535,2.4422278e-10,-0.12910348,-0.03561673,-9.906829,0.0064453846,0.0016988767,0.0022847713,0.32648316,0.5137627,0.14982997,0.0003181058,0.00016082048,4.2556145e-05,33.875378,33.875378
634243351,3407890,3407890,0,0,0,0,0,0,0,0,799.99994,799.99994,6407.1177,6407.1177,0.42276922,0.010474646,7.568199e-10,-0.13243504,-0.026854295,-9.877376,0.0060071163,0.001929448,0.0025122603,0.6538153,1.2309079,0.46281832,0.0010170162,0.0004835132,0.0001755005,33.867943,33.867943
635278346,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1206,6407.1206,2.5880578,0.041130647,2.5130456e-08,-0.08878201,-0.51778144,-10.0343,-0.09885852,-0.0024348055,-0.020003473,394.86438,765.2066,1681.5408,0.05610322,0.051903438,0.017743696,33.870045,33.870045
636318350,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1133,6407.1133,2.792325,0.04647247,1.1260361e-08,-0.05113993,-0.24065617,-9.793083,0.008114612,-0.009591121,-0.05821467,217.68579,271.6996,471.27036,0.05543032,0.015020997,0.017112153,33.888287,33.888287
637263364,3407890,3407890,0,0,0,0,0,0,0,0,799.9998,799.9998,6407.116,6407.116,2.44583,0.041568927,1.65304e-08,-0.49741566,-0.0791343,-10.148093,0.10251451,0.09294153,0.039167076,223.52426,98.106964,320.48788,0.015495682,0.009905518,0.005172044,33.902954,33.902954
638303353,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.125,6407.125,2.6298733,0.02684429,7.734641e-09,-0.2375977,-0.3287401,-10.049464,-0.007032852,0.03298451,-0.047546405,46.952377,19.392544,15.797837,0.0029890586,0.0015011472,0.0011749642,33.89022,33.89022
639228353,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1323,6407.1323,2.334209,0.02344879,1.3694301e-08,-0.05000662,-0.10741613,-10.6471405,-0.008741308,-0.0007156171,0.0606679,46.446224,55.999985,29.99643,0.009127627,0.0047656284,0.0042001605,33.90811,33.90811
640253385,3407890,3407890,0,0,0,0,0,0,0,0,800.0,800.0,6407.1187,6407.1187,2.6092095,0.024791278,3.6732564e-09,-0.35409138,-0.17581026,-9.447975,0.00024328305,0.027400289,-0.005299332,118.04824,44.126904,313.877,0.0058215265,0.00556415,0.002262859,33.939407,33.939407
