timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
630561643,630561189,0,nan,nan,0.24577405,2.8060439,-0.72720265,-0.0010376364,0.005591696,0.42343825,-0.0013261014,-0.0011369663,0.020007346,0.0006942547,-0.0031508233,0.0006665007,-0.00011949052,-0.005320459,0.14187664,-0.0011392707,1.5555334,0.00040044027,-0.0020198966,1.5666031,3.372691e-05,nan,0.096277714,0.055908136,0.035955876,0.07015526,0.038629875,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
630571686,630571216,0,nan,nan,0.24579875,2.8060727,-0.7272029,-0.0010376364,0.005591696,0.42343825,-0.0038353857,-0.0015796181,0.019952988,0.0006639649,-0.0031508233,0.0006665007,-0.00011949052,-0.37951887,0.06270355,-0.02846035,1.5554323,0.0004006326,-0.0021197298,1.5666031,3.3794066e-05,nan,0.09645015,0.056423973,0.03621829,0.0705892,0.038791478,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
630671642,630671188,0,nan,nan,0.24606219,2.8063178,-0.72711766,-0.0010376364,0.005591696,0.42343825,-0.0010550407,-0.0015282156,0.019091986,0.0001553881,-0.0031508233,0.0006665007,-0.00011949052,0.32880738,0.18798904,-0.07886014,1.5550042,0.00040062712,-0.0025361609,1.5666031,3.3561613e-05,nan,0.096318066,0.055937648,0.036060646,0.069428325,0.03840418,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
630761641,630761187,0,nan,nan,0.24648523,2.8065925,-0.7270214,-0.0010376364,0.005591696,0.42343825,-0.00020678235,-0.0018790901,0.020116601,0.001460734,-0.0031508233,0.0006665007,-0.00011949052,0.1372281,0.02961185,0.010716738,1.555326,0.00040074863,-0.0022027867,1.5666031,3.3705874e-05,nan,0.09612501,0.055872228,0.035947397,0.07005515,0.038596906,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
630861645,630861188,0,nan,nan,0.24701755,2.8069897,-0.7268618,-0.0010376364,0.005591696,0.42343825,0.0009360581,-0.0013007853,0.019966628,0.001659776,-0.0031508233,0.0006665007,-0.00011949052,0.13305928,0.13043919,0.032263294,1.5554227,0.0004023522,-0.00209094,1.5666031,3.389406e-05,nan,0.09728736,0.060106788,0.038291004,0.071982495,0.03940901,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
630971647,630971191,0,nan,nan,0.24752502,2.8073347,-0.72610366,-0.0010376364,0.005591696,0.42343825,-0.00041636341,-0.0012266776,0.020513192,0.0030875097,-0.0031508233,0.0006665007,-0.00011949052,0.008556939,0.0503429,0.010273235,1.5556822,0.0004044802,-0.0018125942,1.5666031,3.4638844e-05,nan,0.09869075,0.06638498,0.041430615,0.07673981,0.041119397,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
631061729,631061190,0,nan,nan,0.24784397,2.8075118,-0.72499037,-0.0010376364,0.005591696,0.42343825,-0.0007322754,-0.0019082116,0.021558767,0.0051613245,-0.0031508233,0.0006665007,-0.00011949052,-0.032369774,-0.029025298,0.06584476,1.5556071,0.00040589922,-0.001879506,1.5666031,3.4616605e-05,nan,0.09874129,0.07022673,0.043653123,0.07756263,0.04154365,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
631171789,631171212,0,nan,nan,0.24810731,2.807631,-0.7233231,-0.0010376364,0.005591696,0.42343825,-0.0017761635,-0.0012924786,0.022640329,0.007502938,-0.0031508233,0.0006665007,-0.00011949052,-0.032863587,0.041764293,-0.047301628,1.555448,0.00040804103,-0.0020453483,1.5666031,3.536768e-05,nan,0.09945279,0.077268824,0.04709923,0.08232188,0.043170486,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
631261836,631261221,0,nan,nan,0.24824877,2.8076625,-0.72156745,-0.0010376364,0.005591696,0.42343825,-0.0016598867,-0.0019089634,0.023823809,0.009882242,-0.0031508233,0.0006665007,-0.00011949052,0.11623032,-0.0803135,0.01484989,1.5554425,0.00040946834,-0.0020565856,1.5666031,3.5981015e-05,nan,0.09984845,0.08347718,0.050073326,0.08624187,0.044458173,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
631371766,631371190,0,nan,nan,0.24840334,2.807655,-0.71939933,-0.0010376364,0.005591696,0.42343825,-0.0012788324,-0.0020226757,0.024340633,0.011566261,-0.0031508233,0.0006665007,-0.00011949052,-0.12396327,-0.22899173,-0.048406005,1.5554159,0.00041162584,-0.002073861,1.5666031,3.5944824e-05,nan,0.0993225,0.08866798,0.053078726,0.08720977,0.04495075,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
